OSS Title,License Name/Version #,Description,Version,,
urllib3,MIT License,"urllib3 is a powerful, user-friendly HTTP client for python",1.26.5,,
pyarrow,"Apache Software License (Apache License, Version 2.0)",Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing,19.0.0,,
ucx,BSD 3 Clause License,Unified Communication X ,1.19.0,,
gcc-c++,GPL-3.0,"This package adds C++ support to the GNU Compiler Collection. It includes support for most of the current C++ specification, including templates and exception handling.
",11.5.0,,
clang,Apache-2.0 WITH LLVM-exception OR NCSA,"The goal of the Clang project is to create a new C, C++, Objective C and Objective C++ front-end for the LLVM compiler.",19.1.7,,
openmpi, 3-clause BSD license,Open MPI main development repository,5.0.8,,
nfs-subdir-external-provisioner,Apache License 2.0,Dynamic sub-dir volume provisioner on a remote NFS server.,4.0.2,,
pyyaml,MIT license,Canonical source repository for PyYAML,6.0.2,,
PyMySQL,MIT license,MySQL client library for Python,1.1.1,,
which,GPL-3.0," The which command shows the full pathname of a specified program, if the specified program is in your PATH.",2.21,,
openssh-clients,BSD licence,An open source SSH client applications,9.0p1,,
Pulp container,GNU General Public License v2,Pulp 3 pulpcore package,3.80.0,,
pulp-cli,GNU GENERAL PUBLIC LICENSE Version 2,Command line interface to talk to pulpcore's REST API.,0.29.2,,
pulp-deb,GNU GENERAL PUBLIC LICENSE Version 2,pulp-deb plugin for the Pulp Project,3.4.0,,
pulp-cli-deb,GNU GENERAL PUBLIC LICENSE Version 2,Command line interface to talk to pulpcore's REST API. (Deb plugin commands),0.3.0,,
pulp-glue,GNU GENERAL PUBLIC LICENSE Version 2,Version agnostic glue library to talk to pulpcore's REST API.,0.29.2,,
pulp-glue-deb,GNU GENERAL PUBLIC LICENSE Version 2,Version agnostic glue library to talk to pulpcore's REST API. (deb plugin),0.3.0,,
pulpcore,GNU GENERAL PUBLIC LICENSE Version 2,Pulp Django Application and Related Modules,3.69.0,,
openssh-server,BSD licence,Portable OpenSSH,9.0p1,,
chrony,GPL-2.0,An NTP client/server,4.3.3,,
passlib,BSD licence,"Passlib is a password hashing library for Python 2 & 3, which provides cross-platform implementations of over 30 password hashing algorithms, as well as a framework for managing existing password hashes",1.7.4,,
distllb,PSF-2.0,A low-level library which implements some Python packaging standards (PEPs) and which could be used by third-party packaging tools to achieve interoperability.,0.3.9,,
pexpect,ISC LICENSE,A Python module for controlling interactive programs in a pseudo-terminal,4.9.0,,
logger,GPL-2.0,Python logging helper,1.4,,
prettytable,BSD-3-Clause,Display tabular data in a visually appealing ASCII table format,3.14.0,,
toml,MIT License,Python lib for TOML,0.10.2,,
http-client,MIT License,Twilio SendGrid's Python HTTP Client for calling APIs,0.1.22,,
gitPython,BSD-3-Clause,GitPython is a python library used to interact with Git repositories.,3.1.44,,
ansible-lint,GPL-3.0 license,ansible-lint checks playbooks for practices and behavior that could potentially be improved and can fix some of the most common ones for you,25.6.0,,
passwd,MIT License,Assorted utilities for gracefully handling and generating passwords,0.18.14,,
iprange-python,MIT License,IPRange - Redis as a storage for IP range,0.0.9,,
pigz,zlib,"A parallel implementation of gzip for modern multi-processor, multi-core machines.",2.7,,
bash-completion,GPL-2.0-or-later,Programmable completion for Bash,2.11.9,,
sshpass,GPL-2.0,Non-interactive SSH authentication utility,1.09,,
pdsh,GPL-2.0 license,"A high performance, parallel remote shell utility",2.34,,
clustershell,GPL-2.0 license,"Scalable cluster administration Python framework — Manage node sets, node groups and execute commands on cluster nodes in parallel.",1.9.3,,
containers.podman,GPL-3.0-or-later,"Repository for Ansible content that can include playbooks, roles, modules, and plugins for use with the Podman tool",1.16.2,,
ansible-core,GPL-3.0 license,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems.",2.16.14rc1,,
kernel-devel,GNU GENERAL PUBLIC LICENSE Version 2,This package is commonly used in various Linux distributions to ensure compatibility,5.14.0-570.12.1.el9_6,,
kernel-headers,GNU GENERAL PUBLIC LICENSE Version 2,The kernel-header package contains the header files for the Linux kernel,5.14.0-570.12.1.el9_6,,
elfutils-libelf-devel,GNU GENERAL PUBLIC LICENSE Version 3,The elfutils-libelf-devel package contains libraries that provide development support for handling compiled objects in the ELF (Executable and Linkable Format) object file format.,0.192,,
bind,Apache License 2.0,"BIND (Berkeley Internet Name Domain) is a complete, highly portable implementation of the Domain Name System (DNS) protocol",9.16.23,,
initscripts,GPL-2.0 license,Basic support for legacy System V init scripts,10.11.8,,
gcc-gfortran,GPL-3.0 license,gfortran is a new compiler,11.5.0,,
kafka, Apache-2.0 license,"An open-source distributed data streaming engine that thousands of companies use to build streaming data pipelines and applications, powering mission-critical operational and analytics use cases",3.9.0,,
ochami,Apache-2.0 license,Open Composable Heterogeneous Adaptable Management Infrastructure,0.5.3,,
magellan,MIT license,Redfish-based BMC discovery tool written in Go,0.3.1,,
SMD,MIT license,"The State Management Database (SMD) is a robust service designed for monitoring, tracking, and managing hardware components in high-performance computing (HPC) environments.",2.18.0,,
BSS,MIT license,"The Boot Script Service (BSS) provides boot arguments (initrd, kernel arguments, etc.) and Level 2 boot services for static images in HPE Shasta systems.",1.32.0,,
Image builder,MIT license,A wrapper around various buildah commands that makes creating images in layers easier.,0.1.2,,
cloud-init,MIT License,Micro-service for serving cloud-init payloads,1.2.3,,
coresmd,MIT License,A CoreDHCP plugin with a pull-through cache that communicates with SMD,0.3.0,,
Step-CA,Apache-2.0 license,"A zero trust swiss army knife for working with X509, OAuth, JWT, OATH OTP, etc.",0.2.2,,
haproxy,GPL-2.0 license,Reverse proxy for allowing all microservices to be accessible through a single http(s) host,3.2.5,,
Ory Hydra,Apache-2.0 license,"The only web-scale, fully customizable OpenID Certified™ OpenID Connect and OAuth2 Provider in the world. Become an OpenID Connect and OAuth2 Provider over night. Written in Go, cloud native, headless, API-first. Available as a service on Ory Network and for self-hosters. Relied upon by OpenAI and others for web-scale security.",2.3.0,,
